1,挪威,9.93,完全民主
2,瑞典,9.73,完全民主
3,冰島,9.58,完全民主
4,紐西蘭,9.26,完全民主
5,丹麥,9.11,完全民主
6,瑞士,9.09,完全民主
7,加拿大,9.08,完全民主
8,芬蘭,9.03,完全民主
9,澳洲,9.01,完全民主
10,荷蘭,8.92,完全民主
11,盧森堡,8.88,完全民主
12,愛爾蘭,8.72,完全民主
13,德國,8.64,完全民主
14,奧地利,8.54,完全民主
15,馬爾他,8.39,完全民主
16,英國,8.31,完全民主
17,烏拉圭,8.17,完全民主
17,模里西斯,8.17,完全民主
19,美國,8.11,完全民主
20,日本,8.08,完全民主
21,韓國,8.06,完全民主
22,西班牙,8.05,完全民主
23,法國,8.04,完全民主
24,哥斯大黎加,8.03,完全民主
25,捷克,7.94,部分民主
26,比利時,7.93,部分民主
27,印度,7.92,部分民主
28,波札那,7.87,部分民主
29,義大利,7.85,部分民主
30,南非,7.82,部分民主
31,維德角,7.81,部分民主
32,智利,7.80,部分民主
33,葡萄牙,7.79,部分民主
34,愛沙尼亞,7.74,部分民主
35,臺灣,7.65,部分民主
36,以色列,7.63,部分民主
37,斯洛維尼亞,7.57,部分民主
38,立陶宛,7.54,部分民主
39,拉脫維亞,7.48,部分民主
40,波蘭,7.47,部分民主
41,希臘,7.45,部分民主
42,賽普勒斯,7.40,部分民主
43,牙買加,7.39,部分民主
44,巴西,7.38,部分民主
45,斯洛伐克,7.35,部分民主
46,東帝汶,7.24,部分民主
47,巴拿馬,7.08,部分民主
48,千里達及托巴哥,6.99,部分民主
49,印尼,6.95,部分民主
50,克羅埃西亞,6.93,部分民主
51,匈牙利,6.90,部分民主
52,阿根廷,6.84,部分民主
53,蘇利南,6.77,部分民主
53,菲律賓,6.77,部分民主
55,保加利亞,6.73,部分民主
56,塞爾維亞,6.71,部分民主
57,羅馬尼亞,6.68,部分民主
57,墨西哥,6.68,部分民主
59,多明尼加,6.67,部分民主
60,賴索托,6.66,部分民主
61,蒙古國,6.62,部分民主
62,哥倫比亞,6.55,部分民主
63,秘魯,6.54,部分民主
64,薩爾瓦多,6.53,部分民主
65,馬來西亞,6.49,部分民主
66,香港,6.46,部分民主
67,尚比亞,6.39,部分民主
68,加納,6.33,部分民主
69,摩爾多瓦,6.32,部分民主
70,突尼西亞,6.31,部分民主
71,巴拉圭,6.26,部分民主
72,馬其頓共和國,6.25,部分民主
73,納米比亞,6.24,部分民主
74,塞內加爾,6.15,部分民主
75,巴布亞紐幾內亞,6.03,部分民主
75,新加坡,6.03,部分民主
77,蒙特內哥羅,5.94,混合政權
78,蓋亞那,5.91,混合政權
79,厄瓜多,5.87,混合政權
80,宏都拉斯,5.84,混合政權
81,喬治亞,5.82,混合政權
82,瓜地馬拉,5.81,混合政權
83,玻利維亞,5.79,混合政權
83,馬利,5.79,混合政權
85,孟加拉,5.78,混合政權
86,坦尚尼亞,5.77,混合政權
87,斯里蘭卡,5.69,混合政權
88,阿爾巴尼亞,5.67,混合政權
89,馬拉威,5.66,混合政權
90,貝南,5.65,混合政權
91,斐濟,5.61,混合政權
92,烏克蘭,5.42,混合政權
93,泰國,5.39,混合政權
94,尼加拉瓜,5.32,混合政權
95,吉爾吉斯,5.24,混合政權
96,烏干達,5.22,混合政權
97,肯亞,5.13,混合政權
98,土耳其,5.12,混合政權
98,黎巴嫩,5.12,混合政權
100,委內瑞拉,5.07,混合政權
101,賴比瑞亞,4.95,混合政權
102,不丹,4.87,混合政權
103,波赫,4.78,混合政權
103,柬埔寨,4.78,混合政權
105,尼泊爾,4.77,混合政權
106,巴勒斯坦民族權力機構,4.72,混合政權
107,莫三比克,4.66,混合政權
108,巴基斯坦,4.64,混合政權
109,獅子山,4.56,混合政權
110,馬達加斯加,4.42,混合政權
111,伊拉克,4.23,混合政權
112,茅利塔尼亞,4.17,混合政權
113,亞美尼亞,4.13,混合政權
114,布吉納法索,4.09,混合政權
115,尼日,4.02,混合政權
116,摩洛哥,4.00,專制政權
117,阿爾及利亞,3.83,專制政權
118,海地,3.82,專制政權
119,利比亞,3.80,專制政權
120,科威特,3.78,專制政權
121,約旦,3.76,專制政權
121,加彭,3.76,專制政權
121,奈及利亞,3.76,專制政權
124,衣索比亞,3.72,專制政權
125,白俄羅斯,3.69,專制政權
126,象牙海岸,3.53,專制政權
127,古巴,3.52,專制政權
127,葛摩,3.52,專制政權
129,多哥,3.45,專制政權
130,越南,3.41,專制政權
130,喀麥隆,3.41,專制政權
132,俄羅斯,3.39,專制政權
133,安哥拉,3.35,專制政權
134,蒲隆地,3.33,專制政權
135,盧安達,3.25,專制政權
136,卡達,3.18,專制政權
137,哈薩克,3.17,專制政權
138,埃及,3.16,專制政權
139,阿曼,3.15,專制政權
140,史瓦濟蘭,3.09,專制政權
141,緬甸,3.05,專制政權
141,甘比亞,3.05,專制政權
143,幾內亞,3.01,專制政權
144,中華人民共和國,3.00,專制政權
145,吉布地,2.99,專制政權
146,剛果共和國,2.89,專制政權
147,巴林,2.87,專制政權
148,亞塞拜然,2.83,專制政權
149,葉門,2.79,專制政權
150,辛巴威,2.78,專制政權
151,阿富汗,2.77,專制政權
152,阿聯,2.64,專制政權
153,蘇丹,2.54,專制政權
154,烏茲別克,2.45,專制政權
155,厄利垂亞,2.44,專制政權
156,塔吉克,2.37,專制政權
157,寮國,2.21,專制政權
158,伊朗,1.98,專制政權
159,幾內亞比索,1.93,專制政權
160,土庫曼,1.83,專制政權
161,沙烏地阿拉伯,1.82,專制政權
162,剛果民主共和國,1.75,專制政權
163,敘利亞,1.74,專制政權
164,赤道幾內亞,1.66,專制政權
165,查德,1.50,專制政權
166,中非共和國,1.49,專制政權
167,北韓,1.08,專制政權