象牙海岸,4,4,0
丹麥,11,11,55
以色列,113,132,50
俄羅斯,1,1,0
保加利亞,1,1,0
克羅埃西亞,2,2,0
冰島,1,1,100
加拿大,192,219,44
匈牙利,25,24,36
南非,14,9,0
南韓,7,15,14
卡達,3,3,0
印度,3,245,4,144,50
厄瓜多,2,3,0
台灣,229,329,84
哥倫比亞,27,41,15
哥斯大黎加,4,6,0
土耳其,96,170,47
埃及,8,11,0
塞爾維亞,1,1,0
墨西哥,78,127,37
奧地利,35,41,17
孟加拉,1,12,0
尼泊爾,3,3,33
巴基斯坦,35,47,77
巴拿馬,2,2,0
巴西,715,857,33
巴貝多,3,3,0
希臘,122,141,54
德國,1,886,2,068,37
意大利,1,705,2,306,53
愛爾蘭,34,40,71
挪威,16,16,31
捷克共和國,10,13,60
斯洛維尼亞,6,8,50
新加坡,107,117,70
日本,1,1,0
智利,215,340,68
柬埔寨,1,1,0
比利時,150,169,70
法國,1,547,1,598,39
波士尼亞與赫塞哥維納,4,11,25
波札那,3,7,0
波蘭,233,158,9
泰國,2,5,0
澳大利亞,546,601,64
烏干達,1,1,0
瑞典,54,66,54
瑞士,32,36,13
科索沃,2,11,0
秘魯,13,14,15
立陶宛,6,7,17
紐西蘭,106,119,58
羅馬尼亞,16,36,63
美國,11000-12000,20000-21000,79
芬蘭,12,15,75
英國,1,975,2,337,68
荷蘭,11,15,36
菲律賓,4,4,25
葡萄牙,177,213,42
蒙古,2,2,0
蒙特內哥羅,2,2,0
薩爾瓦多,2,2,0
西班牙,479,715,51
賽普勒斯,3,4,33
阿根廷,152,218,27
阿爾巴尼亞,6,12,83
香港,1,1,100
馬來西亞,7,197,0
馬其頓,9,11,33
馬爾他,89,97,60